"key";"de";"en";"de_f";"it";"es"
"TMES_0006_PROMPT";"Wenn ich Musik höre, denke ich über den emotionalen Zustand des Interpreten oder Komponisten zu der Zeit nach, in der das Stück interpretiert wurde.";"When listening to music, I have thoughts about the emotional state of the writer/composer at the time.";"Wenn ich Musik höre, denke ich über den emotionalen Zustand des Interpreten oder Komponisten zu der Zeit nach, in der das Stück interpretiert wurde.";"When listening to music, I have thoughts about the emotional state of the writer/composer at the time.";"When listening to music, I have thoughts about the emotional state of the writer/composer at the time."
"TMES_0006_CHOICE1";"trifft gar nicht zu";"strongly disagree";"trifft gar nicht zu";"strongly disagree";"strongly disagree"
"TMES_0006_CHOICE2";"trifft eher nicht zu";"disagree";"trifft eher nicht zu";"disagree";"disagree"
"TMES_0006_CHOICE3";"trifft eher zu";"agree";"trifft eher zu";"agree";"agree"
"TMES_0006_CHOICE4";"trifft völlig zu";"strongly agree";"trifft völlig zu";"strongly agree";"strongly agree"
"TMES_0007_PROMPT";"Ich habe nicht das Gefühl, in der Lage zu sein, mich mit den Sängern/Komponisten meiner Lieblingsmusik zu identifizieren.";"I do not feel I am able to identify with the singers/writers of my favorite music.";"Ich habe nicht das Gefühl, in der Lage zu sein, mich mit den Sängern/Komponisten meiner Lieblingsmusik zu identifizieren.";"I do not feel I am able to identify with the singers/writers of my favorite music.";"I do not feel I am able to identify with the singers/writers of my favorite music."
"TMES_0007_CHOICE1";"trifft gar nicht zu";"strongly disagree";"trifft gar nicht zu";"strongly disagree";"strongly disagree"
"TMES_0007_CHOICE2";"trifft eher nicht zu";"disagree";"trifft eher nicht zu";"disagree";"disagree"
"TMES_0007_CHOICE3";"trifft eher zu";"agree";"trifft eher zu";"agree";"agree"
"TMES_0007_CHOICE4";"trifft völlig zu";"strongly agree";"trifft völlig zu";"strongly agree";"strongly agree"
"TMES_0008_PROMPT";"Wenn ich Musik höre, habe ich das Gefühl, ich verstehe die Emotionen, die der Komponist oder der Interpret versucht auszudrücken.";"I feel when listening to music I can understand the emotions the writer/performer is trying to express.";"Wenn ich Musik höre, habe ich das Gefühl, ich verstehe die Emotionen, die der Komponist oder der Interpret versucht auszudrücken.";"I feel when listening to music I can understand the emotions the writer/performer is trying to express.";"I feel when listening to music I can understand the emotions the writer/performer is trying to express."
"TMES_0008_CHOICE1";"trifft gar nicht zu";"strongly disagree";"trifft gar nicht zu";"strongly disagree";"strongly disagree"
"TMES_0008_CHOICE2";"trifft eher nicht zu";"disagree";"trifft eher nicht zu";"disagree";"disagree"
"TMES_0008_CHOICE3";"trifft eher zu";"agree";"trifft eher zu";"agree";"agree"
"TMES_0008_CHOICE4";"trifft völlig zu";"strongly agree";"trifft völlig zu";"strongly agree";"strongly agree"
"TMES_0009_PROMPT";"Ich interessiere mich nicht für das Leben meines Lieblingskünstlers zu der Zeit, als er ein bestimmtes Musikstück/Album produziert hat.";"I do not care about the lives of my favorite artists at the times they produced a certain song/album.";"Ich interessiere mich nicht für das Leben meines Lieblingskünstlers zu der Zeit, als er ein bestimmtes Musikstück/Album produziert hat.";"I do not care about the lives of my favorite artists at the times they produced a certain song/album.";"I do not care about the lives of my favorite artists at the times they produced a certain song/album."
"TMES_0009_CHOICE1";"trifft gar nicht zu";"strongly disagree";"trifft gar nicht zu";"strongly disagree";"strongly disagree"
"TMES_0009_CHOICE2";"trifft eher nicht zu";"disagree";"trifft eher nicht zu";"disagree";"disagree"
"TMES_0009_CHOICE3";"trifft eher zu";"agree";"trifft eher zu";"agree";"agree"
"TMES_0009_CHOICE4";"trifft völlig zu";"strongly agree";"trifft völlig zu";"strongly agree";"strongly agree"
"TMES_0010_PROMPT";"Ich habe häufig körperliche Empfindungen, wie z.B. Tränen, Schauer etc., wenn ich bestimmte Musikstücke höre.";"I often experience physical sensations such as tears, shivers etc when listening to certain pieces of music.";"Ich habe häufig körperliche Empfindungen, wie z.B. Tränen, Schauer etc., wenn ich bestimmte Musikstücke höre.";"I often experience physical sensations such as tears, shivers etc when listening to certain pieces of music.";"I often experience physical sensations such as tears, shivers etc when listening to certain pieces of music."
"TMES_0010_CHOICE1";"trifft gar nicht zu";"strongly disagree";"trifft gar nicht zu";"strongly disagree";"strongly disagree"
"TMES_0010_CHOICE2";"trifft eher nicht zu";"disagree";"trifft eher nicht zu";"disagree";"disagree"
"TMES_0010_CHOICE3";"trifft eher zu";"agree";"trifft eher zu";"agree";"agree"
"TMES_0010_CHOICE4";"trifft völlig zu";"strongly agree";"trifft völlig zu";"strongly agree";"strongly agree"
"TMES_0011_PROMPT";"Ich interessiere mich nicht für die Struktur eines Musikstücks.";"I am not interested in understanding the structure of a piece of music.";"Ich interessiere mich nicht für die Struktur eines Musikstücks.";"I am not interested in understanding the structure of a piece of music.";"I am not interested in understanding the structure of a piece of music."
"TMES_0011_CHOICE1";"trifft gar nicht zu";"strongly disagree";"trifft gar nicht zu";"strongly disagree";"strongly disagree"
"TMES_0011_CHOICE2";"trifft eher nicht zu";"disagree";"trifft eher nicht zu";"disagree";"disagree"
"TMES_0011_CHOICE3";"trifft eher zu";"agree";"trifft eher zu";"agree";"agree"
"TMES_0011_CHOICE4";"trifft völlig zu";"strongly agree";"trifft völlig zu";"strongly agree";"strongly agree"
"TMES_0012_PROMPT";"Die Physik und Akustik eines Instruments faszinieren mich nicht.";"I am not intrigued about the physics and acoustics of musical instruments.";"Die Physik und Akustik eines Instruments faszinieren mich nicht.";"I am not intrigued about the physics and acoustics of musical instruments.";"I am not intrigued about the physics and acoustics of musical instruments."
"TMES_0012_CHOICE1";"trifft gar nicht zu";"strongly disagree";"trifft gar nicht zu";"strongly disagree";"strongly disagree"
"TMES_0012_CHOICE2";"trifft eher nicht zu";"disagree";"trifft eher nicht zu";"disagree";"disagree"
"TMES_0012_CHOICE3";"trifft eher zu";"agree";"trifft eher zu";"agree";"agree"
"TMES_0012_CHOICE4";"trifft völlig zu";"strongly agree";"trifft völlig zu";"strongly agree";"strongly agree"
"TMES_0013_PROMPT";"Ich frage mich häufig, wie die mechanischen Einzelheiten eines Musikinstruments funktionieren.";"I often wonder how the mechanics of musical instruments work.";"Ich frage mich häufig, wie die mechanischen Einzelheiten eines Musikinstruments funktionieren.";"I often wonder how the mechanics of musical instruments work.";"I often wonder how the mechanics of musical instruments work."
"TMES_0013_CHOICE1";"trifft gar nicht zu";"strongly disagree";"trifft gar nicht zu";"strongly disagree";"strongly disagree"
"TMES_0013_CHOICE2";"trifft eher nicht zu";"disagree";"trifft eher nicht zu";"disagree";"disagree"
"TMES_0013_CHOICE3";"trifft eher zu";"agree";"trifft eher zu";"agree";"agree"
"TMES_0013_CHOICE4";"trifft völlig zu";"strongly agree";"trifft völlig zu";"strongly agree";"strongly agree"
"TMES_0014_PROMPT";"Ich mag es, die verschiedenen Schichten von Instrumenten und Stimmen in einem Stück herauszuhören.";"I like hearing the different layers of instruments and voices in a song/piece of music.";"Ich mag es, die verschiedenen Schichten von Instrumenten und Stimmen in einem Stück herauszuhören.";"I like hearing the different layers of instruments and voices in a song/piece of music.";"I like hearing the different layers of instruments and voices in a song/piece of music."
"TMES_0014_CHOICE1";"trifft gar nicht zu";"strongly disagree";"trifft gar nicht zu";"strongly disagree";"strongly disagree"
"TMES_0014_CHOICE2";"trifft eher nicht zu";"disagree";"trifft eher nicht zu";"disagree";"disagree"
"TMES_0014_CHOICE3";"trifft eher zu";"agree";"trifft eher zu";"agree";"agree"
"TMES_0014_CHOICE4";"trifft völlig zu";"strongly agree";"trifft völlig zu";"strongly agree";"strongly agree"
"TMES_0015_PROMPT";"Ich finde geschriebene Musikpartituren sehr interessant, und besonders gefällt mir die organisierte Art und Weise, in der Musik angelegt ist.";"I find written music scores very interesting and I especially like the organized way that music is laid out.";"Ich finde geschriebene Musikpartituren sehr interessant, und besonders gefällt mir die organisierte Art und Weise, in der Musik angelegt ist.";"I find written music scores very interesting and I especially like the organized way that music is laid out.";"I find written music scores very interesting and I especially like the organized way that music is laid out."
"TMES_0015_CHOICE1";"trifft gar nicht zu";"strongly disagree";"trifft gar nicht zu";"strongly disagree";"strongly disagree"
"TMES_0015_CHOICE2";"trifft eher nicht zu";"disagree";"trifft eher nicht zu";"disagree";"disagree"
"TMES_0015_CHOICE3";"trifft eher zu";"agree";"trifft eher zu";"agree";"agree"
"TMES_0015_CHOICE4";"trifft völlig zu";"strongly agree";"trifft völlig zu";"strongly agree";"strongly agree"
"TMES_0016_PROMPT";"Ich mag es, wie sich ein Musikstück aus seinen Einzelteilen zu einem Ganzen formt.";"I like the way a song comes together from all its different parts.";"Ich mag es, wie sich ein Musikstück aus seinen Einzelteilen zu einem Ganzen formt.";"I like the way a song comes together from all its different parts.";"I like the way a song comes together from all its different parts."
"TMES_0016_CHOICE1";"trifft gar nicht zu";"strongly disagree";"trifft gar nicht zu";"strongly disagree";"strongly disagree"
"TMES_0016_CHOICE2";"trifft eher nicht zu";"disagree";"trifft eher nicht zu";"disagree";"disagree"
"TMES_0016_CHOICE3";"trifft eher zu";"agree";"trifft eher zu";"agree";"agree"
"TMES_0016_CHOICE4";"trifft völlig zu";"strongly agree";"trifft völlig zu";"strongly agree";"strongly agree"
"TMES_0017_PROMPT";"Bei Konzerten faszinieren mich besonders die Rollen der einzelnen Musiker und das daraus entstehende Zusammenspiel.";"At concerts, I like to see the roles of the different band/orchestra members and how it all comes together.";"Bei Konzerten faszinieren mich besonders die Rollen der einzelnen Musiker und das daraus entstehende Zusammenspiel.";"At concerts, I like to see the roles of the different band/orchestra members and how it all comes together.";"At concerts, I like to see the roles of the different band/orchestra members and how it all comes together."
"TMES_0017_CHOICE1";"trifft gar nicht zu";"strongly disagree";"trifft gar nicht zu";"strongly disagree";"strongly disagree"
"TMES_0017_CHOICE2";"trifft eher nicht zu";"disagree";"trifft eher nicht zu";"disagree";"disagree"
"TMES_0017_CHOICE3";"trifft eher zu";"agree";"trifft eher zu";"agree";"agree"
"TMES_0017_CHOICE4";"trifft völlig zu";"strongly agree";"trifft völlig zu";"strongly agree";"strongly agree"
"TMES_0018_PROMPT";"Ich mag es, meine Musiksammlung ordentlich sortiert zu haben (z.B. alphabetisch oder nach Genre).";"I like to keep my music collection clearly ordered, e.g., alphabetically or by genre.";"Ich mag es, meine Musiksammlung ordentlich sortiert zu haben (z.B. alphabetisch oder nach Genre).";"I like to keep my music collection clearly ordered, e.g., alphabetically or by genre.";"I like to keep my music collection clearly ordered, e.g., alphabetically or by genre."
"TMES_0018_CHOICE1";"trifft gar nicht zu";"strongly disagree";"trifft gar nicht zu";"strongly disagree";"strongly disagree"
"TMES_0018_CHOICE2";"trifft eher nicht zu";"disagree";"trifft eher nicht zu";"disagree";"disagree"
"TMES_0018_CHOICE3";"trifft eher zu";"agree";"trifft eher zu";"agree";"agree"
"TMES_0018_CHOICE4";"trifft völlig zu";"strongly agree";"trifft völlig zu";"strongly agree";"strongly agree"
"TMES_0019_PROMPT";"Ich interessiere mich gar nicht dafür, wie Musik produziert wird und welche Technologien dem zu Grunde liegen.";"I am not at all interested in the production side of music and the technologies involved.";"Ich interessiere mich gar nicht dafür, wie Musik produziert wird und welche Technologien dem zu Grunde liegen.";"I am not at all interested in the production side of music and the technologies involved.";"I am not at all interested in the production side of music and the technologies involved."
"TMES_0019_CHOICE1";"trifft gar nicht zu";"strongly disagree";"trifft gar nicht zu";"strongly disagree";"strongly disagree"
"TMES_0019_CHOICE2";"trifft eher nicht zu";"disagree";"trifft eher nicht zu";"disagree";"disagree"
"TMES_0019_CHOICE3";"trifft eher zu";"agree";"trifft eher zu";"agree";"agree"
"TMES_0019_CHOICE4";"trifft völlig zu";"strongly agree";"trifft völlig zu";"strongly agree";"strongly agree"
