key;en;it
THSP_0025_CHOICE1;1 - Not at all;1 - Per niente
THSP_0025_CHOICE2;2;2
THSP_0025_CHOICE3;3;3
THSP_0025_CHOICE4;4 - Moderately;4 - Moderatamente
THSP_0025_CHOICE5;5;5
THSP_0025_CHOICE6;6;6
THSP_0025_CHOICE7;7 - Extremely;7 - Estremamente
THSP_0025_PROMPT;Do you make it a high priority to arrange your life to avoid upsetting or overwhelming situations?;Per te è prioritario organizzare la tua vita in modo da evitare situazioni sconvolgenti o travolgenti?
THSP_0026_CHOICE1;1 - Not at all;1 - Per niente
THSP_0026_CHOICE2;2;2
THSP_0026_CHOICE3;3;3
THSP_0026_CHOICE4;4 - Moderately;4 - Moderatamente
THSP_0026_CHOICE5;5;5
THSP_0026_CHOICE6;6;6
THSP_0026_CHOICE7;7 - Extremely;7 - Estremamente
THSP_0026_PROMPT;Are you bothered by intense stimuli, like loud noises or chaotic scenes?;Stimoli intensi, come rumori forti o scene caotiche, ti turbano?
THSP_0027_CHOICE1;1 - Not at all;1 - Per niente
THSP_0027_CHOICE2;2;2
THSP_0027_CHOICE3;3;3
THSP_0027_CHOICE4;4 - Moderately;4 - Moderatamente
THSP_0027_CHOICE5;5;5
THSP_0027_CHOICE6;6;6
THSP_0027_CHOICE7;7 - Extremely;7 - Estremamente
THSP_0027_PROMPT;When you must compete or be observed while performing a task, do you become so nervous or shaky that you do much worse than you would otherwise?;Quando devi competere o vieni osservato mentre svolgi un compito, diventi così nervoso o insicuro che fai molto peggio di quanto faresti altrimenti?
THSP_0028_CHOICE1;1 - Not at all;1 - Per niente
THSP_0028_CHOICE2;2;2
THSP_0028_CHOICE3;3;3
THSP_0028_CHOICE4;4 - Moderately;4 - Moderatamente
THSP_0028_CHOICE5;5;5
THSP_0028_CHOICE6;6;6
THSP_0028_CHOICE7;7 - Extremely;7 - Estremamente
THSP_0028_PROMPT;When you were a child, did parents or teachers seem to see you as sensitive or shy?;Quando eri bambino/a, i tuoi genitori o insegnanti ti vedevano come una persona sensibile o timida?
