"key";"de";"en";"de_f";"it"
"TPAC_0005_CHOICE2";"An wenigen Wochenenden";"Very few weekends";"An wenigen Wochenenden";"Very few weekends"
"TPAC_0005_CHOICE3";"An einigen Wochenenden";"Some weekends";"An einigen Wochenenden";"Some weekends"
"TPAC_0005_CHOICE4";"An den meisten Wochenenden";"Most weekends";"An den meisten Wochenenden";"Most weekends"
"TPAC_0005_CHOICE5";"Jedes Wochenende";"Every weekend";"Jedes Wochenende";"Every weekend"
"TPAC_0005_PROMPT";"Wie oft hast du in den letzten drei Monaten am Wochenende Sport gemacht oder getanzt?";"In the last three months, how often did you do sports or dance on weekends?";"Wie oft hast du in den letzten drei Monaten am Wochenende Sport gemacht oder getanzt?";"In the last three months, how often did you do sports or dance on weekends?"
"TPAC_0006_CHOICE1";"Nie";"Not at all";"Nie";"Not at all"
"TPAC_0006_CHOICE2";"Manchmal (1- bis 2-mal pro Woche)";"Sometimes (1-2 times a week)";"Manchmal (1- bis 2-mal pro Woche)";"Sometimes (1-2 times a week)"
"TPAC_0006_CHOICE3";"Öfters (3- bis 4-mal pro Woche)";"Often (3-4 times a week)";"Öfters (3- bis 4-mal pro Woche)";"Often (3-4 times a week)"
"TPAC_0006_CHOICE4";"Recht oft (5- bis 6-mal pro Woche)";"Quite often (5-6 times a week)";"Recht oft (5- bis 6-mal pro Woche)";"Quite often (5-6 times a week)"
"TPAC_0006_CHOICE5";"Sehr oft (7-mal oder mehr pro Woche)";"Very often (7 or more times a week)";"Sehr oft (7-mal oder mehr pro Woche)";"Very often (7 or more times a week)"
"TPAC_0006_PROMPT";"Wie oft hast du in den letzten drei Monaten in deiner Freizeit Sport gemacht, getanzt, Spiele gespielt etc.?";"In the last three months, I spent my free time doing sports, dance or playing games …";"Wie oft hast du in den letzten drei Monaten in deiner Freizeit Sport gemacht, getanzt, Spiele gespielt etc.?";"In the last three months, I spent my free time doing sports, dance or playing games …"
