"key";"de";"en";"de_f";"it";"es"
"TFSR_0004_PROMPT";"Ich habe keine Mühe, mich zu konzentrieren.";"I have no difficulty concentrating.";"Ich habe keine Mühe, mich zu konzentrieren.";"I have no difficulty concentrating.";"I have no difficulty concentrating."
"TFSR_0005_CHOICE1";"Trifft gar nicht zu";"Strongly disagree";"Trifft gar nicht zu";"Strongly disagree";"Strongly disagree"
"TFSR_0005_CHOICE2";"Trifft nicht zu";"Disagree";"Trifft nicht zu";"Disagree";"Disagree"
"TFSR_0005_CHOICE3";"Trifft eher nicht zu";"Slightly Disagree";"Trifft eher nicht zu";"Slightly Disagree";"Slightly Disagree"
"TFSR_0005_CHOICE4";"Weder noch";"Neither agree nor disagree";"Weder noch";"Neither agree nor disagree";"Neither agree nor disagree"
"TFSR_0005_CHOICE5";"Trifft eher zu";"Agree";"Trifft eher zu";"Agree";"Agree"
"TFSR_0005_CHOICE6";"Trifft zu";"Slightly agree";"Trifft zu";"Slightly agree";"Slightly agree"
"TFSR_0005_CHOICE7";"Trifft voll zu";"Strongly agree";"Trifft voll zu";"Strongly agree";"Strongly agree"
"TFSR_0005_PROMPT";"Mein Kopf ist völlig klar.";"My mind is completely clear.";"Mein Kopf ist völlig klar.";"My mind is completely clear.";"My mind is completely clear."
"TFSR_0006_CHOICE1";"Trifft gar nicht zu";"Strongly disagree";"Trifft gar nicht zu";"Strongly disagree";"Strongly disagree"
"TFSR_0006_CHOICE2";"Trifft nicht zu";"Disagree";"Trifft nicht zu";"Disagree";"Disagree"
"TFSR_0006_CHOICE3";"Trifft eher nicht zu";"Slightly Disagree";"Trifft eher nicht zu";"Slightly Disagree";"Slightly Disagree"
"TFSR_0006_CHOICE4";"Weder noch";"Neither agree nor disagree";"Weder noch";"Neither agree nor disagree";"Neither agree nor disagree"
"TFSR_0006_CHOICE5";"Trifft eher zu";"Agree";"Trifft eher zu";"Agree";"Agree"
"TFSR_0006_CHOICE6";"Trifft zu";"Slightly agree";"Trifft zu";"Slightly agree";"Slightly agree"
"TFSR_0006_CHOICE7";"Trifft voll zu";"Strongly agree";"Trifft voll zu";"Strongly agree";"Strongly agree"
"TFSR_0006_PROMPT";"Ich bin ganz  vertieft in das, was ich gerade mache.";"I am totally absorbed in what I am doing.";"Ich bin ganz  vertieft in das, was ich gerade mache.";"I am totally absorbed in what I am doing.";"I am totally absorbed in what I am doing."
"TFSR_0007_CHOICE1";"Trifft gar nicht zu";"Strongly disagree";"Trifft gar nicht zu";"Strongly disagree";"Strongly disagree"
"TFSR_0007_CHOICE2";"Trifft nicht zu";"Disagree";"Trifft nicht zu";"Disagree";"Disagree"
"TFSR_0007_CHOICE3";"Trifft eher nicht zu";"Slightly Disagree";"Trifft eher nicht zu";"Slightly Disagree";"Slightly Disagree"
"TFSR_0007_CHOICE4";"Weder noch";"Neither agree nor disagree";"Weder noch";"Neither agree nor disagree";"Neither agree nor disagree"
"TFSR_0007_CHOICE5";"Trifft eher zu";"Agree";"Trifft eher zu";"Agree";"Agree"
"TFSR_0007_CHOICE6";"Trifft zu";"Slightly agree";"Trifft zu";"Slightly agree";"Slightly agree"
"TFSR_0007_CHOICE7";"Trifft voll zu";"Strongly agree";"Trifft voll zu";"Strongly agree";"Strongly agree"
"TFSR_0007_PROMPT";"Die richtigen Gedanken/Bewegungen kommen wie von selbst.";"The right thoughts/movements occur of their own accord.";"Die richtigen Gedanken/Bewegungen kommen wie von selbst.";"The right thoughts/movements occur of their own accord.";"The right thoughts/movements occur of their own accord."
"TFSR_0008_CHOICE1";"Trifft gar nicht zu";"Strongly disagree";"Trifft gar nicht zu";"Strongly disagree";"Strongly disagree"
"TFSR_0008_CHOICE2";"Trifft nicht zu";"Disagree";"Trifft nicht zu";"Disagree";"Disagree"
"TFSR_0008_CHOICE3";"Trifft eher nicht zu";"Slightly Disagree";"Trifft eher nicht zu";"Slightly Disagree";"Slightly Disagree"
"TFSR_0008_CHOICE4";"Weder noch";"Neither agree nor disagree";"Weder noch";"Neither agree nor disagree";"Neither agree nor disagree"
"TFSR_0008_CHOICE5";"Trifft eher zu";"Agree";"Trifft eher zu";"Agree";"Agree"
"TFSR_0008_CHOICE6";"Trifft zu";"Slightly agree";"Trifft zu";"Slightly agree";"Slightly agree"
"TFSR_0008_CHOICE7";"Trifft voll zu";"Strongly agree";"Trifft voll zu";"Strongly agree";"Strongly agree"
"TFSR_0008_PROMPT";"Ich weiß bei jedem Schritt, was ich zu tun habe.";"I know what I have to do each step of the way.";"Ich weiß bei jedem Schritt, was ich zu tun habe.";"I know what I have to do each step of the way.";"I know what I have to do each step of the way."
"TFSR_0009_CHOICE1";"Trifft gar nicht zu";"Strongly disagree";"Trifft gar nicht zu";"Strongly disagree";"Strongly disagree"
"TFSR_0009_CHOICE2";"Trifft nicht zu";"Disagree";"Trifft nicht zu";"Disagree";"Disagree"
"TFSR_0009_CHOICE3";"Trifft eher nicht zu";"Slightly Disagree";"Trifft eher nicht zu";"Slightly Disagree";"Slightly Disagree"
"TFSR_0009_CHOICE4";"Weder noch";"Neither agree nor disagree";"Weder noch";"Neither agree nor disagree";"Neither agree nor disagree"
"TFSR_0009_CHOICE5";"Trifft eher zu";"Agree";"Trifft eher zu";"Agree";"Agree"
"TFSR_0009_CHOICE6";"Trifft zu";"Slightly agree";"Trifft zu";"Slightly agree";"Slightly agree"
"TFSR_0009_CHOICE7";"Trifft voll zu";"Strongly agree";"Trifft voll zu";"Strongly agree";"Strongly agree"
"TFSR_0009_PROMPT";"Ich habe das Gefühl, den Ablauf unter Kontrolle zu haben.";"I feel that I have everything under control.";"Ich habe das Gefühl, den Ablauf unter Kontrolle zu haben.";"I feel that I have everything under control.";"I feel that I have everything under control."
"TFSR_0010_CHOICE1";"Trifft gar nicht zu";"Strongly disagree";"Trifft gar nicht zu";"Strongly disagree";"Strongly disagree"
"TFSR_0010_CHOICE2";"Trifft nicht zu";"Disagree";"Trifft nicht zu";"Disagree";"Disagree"
"TFSR_0010_CHOICE3";"Trifft eher nicht zu";"Slightly Disagree";"Trifft eher nicht zu";"Slightly Disagree";"Slightly Disagree"
"TFSR_0010_CHOICE4";"Weder noch";"Neither agree nor disagree";"Weder noch";"Neither agree nor disagree";"Neither agree nor disagree"
"TFSR_0010_CHOICE5";"Trifft eher zu";"Agree";"Trifft eher zu";"Agree";"Agree"
"TFSR_0010_CHOICE6";"Trifft zu";"Slightly agree";"Trifft zu";"Slightly agree";"Slightly agree"
"TFSR_0010_CHOICE7";"Trifft voll zu";"Strongly agree";"Trifft voll zu";"Strongly agree";"Strongly agree"
"TFSR_0010_PROMPT";"Ich bin völlig selbstvergessen.";"I am completely lost in thought.";"Ich bin völlig selbstvergessen.";"I am completely lost in thought.";"I am completely lost in thought."
"TFSR_0011_CHOICE1";"Trifft gar nicht zu";"Strongly disagree";"Trifft gar nicht zu";"Strongly disagree";"Strongly disagree"
"TFSR_0011_CHOICE2";"Trifft nicht zu";"Disagree";"Trifft nicht zu";"Disagree";"Disagree"
"TFSR_0011_CHOICE3";"Trifft eher nicht zu";"Slightly Disagree";"Trifft eher nicht zu";"Slightly Disagree";"Slightly Disagree"
"TFSR_0011_CHOICE4";"Weder noch";"Neither agree nor disagree";"Weder noch";"Neither agree nor disagree";"Neither agree nor disagree"
"TFSR_0011_CHOICE5";"Trifft eher zu";"Agree";"Trifft eher zu";"Agree";"Agree"
"TFSR_0011_CHOICE6";"Trifft zu";"Slightly agree";"Trifft zu";"Slightly agree";"Slightly agree"
"TFSR_0011_CHOICE7";"Trifft voll zu";"Strongly agree";"Trifft voll zu";"Strongly agree";"Strongly agree"
"TFSR_0011_PROMPT";"Es steht etwas für mich Wichtiges auf dem Spiel.";"Something important to me is at stake here.";"Es steht etwas für mich Wichtiges auf dem Spiel.";"Something important to me is at stake here.";"Something important to me is at stake here."
"TFSR_0012_CHOICE1";"Trifft gar nicht zu";"Strongly disagree";"Trifft gar nicht zu";"Strongly disagree";"Strongly disagree"
"TFSR_0012_CHOICE2";"Trifft nicht zu";"Disagree";"Trifft nicht zu";"Disagree";"Disagree"
"TFSR_0012_CHOICE3";"Trifft eher nicht zu";"Slightly Disagree";"Trifft eher nicht zu";"Slightly Disagree";"Slightly Disagree"
"TFSR_0012_CHOICE4";"Weder noch";"Neither agree nor disagree";"Weder noch";"Neither agree nor disagree";"Neither agree nor disagree"
"TFSR_0012_CHOICE5";"Trifft eher zu";"Agree";"Trifft eher zu";"Agree";"Agree"
"TFSR_0012_CHOICE6";"Trifft zu";"Slightly agree";"Trifft zu";"Slightly agree";"Slightly agree"
"TFSR_0012_CHOICE7";"Trifft voll zu";"Strongly agree";"Trifft voll zu";"Strongly agree";"Strongly agree"
"TFSR_0012_PROMPT";"Ich darf jetzt keine Fehler machen.";"I must not make any mistakes here.";"Ich darf jetzt keine Fehler machen.";"I must not make any mistakes here.";"I must not make any mistakes here."
"TFSR_0013_CHOICE1";"Trifft gar nicht zu";"Strongly disagree";"Trifft gar nicht zu";"Strongly disagree";"Strongly disagree"
"TFSR_0013_CHOICE2";"Trifft nicht zu";"Disagree";"Trifft nicht zu";"Disagree";"Disagree"
"TFSR_0013_CHOICE3";"Trifft eher nicht zu";"Slightly Disagree";"Trifft eher nicht zu";"Slightly Disagree";"Slightly Disagree"
"TFSR_0013_CHOICE4";"Weder noch";"Neither agree nor disagree";"Weder noch";"Neither agree nor disagree";"Neither agree nor disagree"
"TFSR_0013_CHOICE5";"Trifft eher zu";"Agree";"Trifft eher zu";"Agree";"Agree"
"TFSR_0013_CHOICE6";"Trifft zu";"Slightly agree";"Trifft zu";"Slightly agree";"Slightly agree"
"TFSR_0013_CHOICE7";"Trifft voll zu";"Strongly agree";"Trifft voll zu";"Strongly agree";"Strongly agree"
"TFSR_0013_PROMPT";"Ich mache mir Sorgen über einen Misserfolg.";"I am worried about failing. ";"Ich mache mir Sorgen über einen Misserfolg.";"I am worried about failing. ";"I am worried about failing. "
"TFSR_0014_CHOICE1";"1 - Leicht";"1 - Easy";"1 - Leicht";"1 - Easy";"1 - Easy"
"TFSR_0014_CHOICE2";"2";"2";"2";"2";"2"
"TFSR_0014_CHOICE3";"3";"3";"3";"3";"3"
"TFSR_0014_CHOICE4";"4";"4";"4";"4";"4"
"TFSR_0014_CHOICE5";"5";"5";"5";"5";"5"
"TFSR_0014_CHOICE6";"6";"6";"6";"6";"6"
"TFSR_0014_CHOICE7";"7";"7";"7";"7";"7"
"TFSR_0014_CHOICE8";"8";"8";"8";"8";"8"
"TFSR_0014_CHOICE9";"9 - Schwer";"9 - Hard";"9 - Schwer";"9 - Hard";"9 - Hard"
"TFSR_0014_PROMPT";"Verglichen mit anderen Tätigkeiten, die ich sonst mache, ist die jetzige Tätigkeit...";"Compared to all activities, which is partake in, this one is ... ";"Verglichen mit anderen Tätigkeiten, die ich sonst mache, ist die jetzige Tätigkeit...";"Compared to all activities, which is partake in, this one is ... ";"Compared to all activities, which is partake in, this one is ... "
"TFSR_0015_CHOICE1";"1 - Niedrig";"1 - Low";"1 - Niedrig";"1 - Low";"1 - Low"
"TFSR_0015_CHOICE2";"2";"2";"2";"2";"2"
"TFSR_0015_CHOICE3";"3";"3";"3";"3";"3"
"TFSR_0015_CHOICE4";"4";"4";"4";"4";"4"
"TFSR_0015_CHOICE5";"5";"5";"5";"5";"5"
"TFSR_0015_CHOICE6";"6";"6";"6";"6";"6"
"TFSR_0015_CHOICE7";"7";"7";"7";"7";"7"
"TFSR_0015_CHOICE8";"8";"8";"8";"8";"8"
"TFSR_0015_CHOICE9";"9 - Hoch";"9 - High";"9 - Hoch";"9 - High";"9 - High"
"TFSR_0015_PROMPT";"Ich denke meine Fähigkeiten auf diesem Gebiet sind...";"I think that my competence in this area is ... ";"Ich denke meine Fähigkeiten auf diesem Gebiet sind...";"I think that my competence in this area is ... ";"I think that my competence in this area is ... "
"TFSR_0016_CHOICE1";"1 - Zu Gering";"1 - Too Low";"1 - Zu Gering";"1 - Too Low";"1 - Too Low"
"TFSR_0016_CHOICE2";"2";"2";"2";"2";"2"
"TFSR_0016_CHOICE3";"3";"3";"3";"3";"3"
"TFSR_0016_CHOICE4";"4";"4";"4";"4";"4"
"TFSR_0016_CHOICE5";"5 - Gerade richtig";"5 - just right";"5 - Gerade richtig";"5 - just right";"5 - just right"
"TFSR_0016_CHOICE6";"6";"6";"6";"6";"6"
"TFSR_0016_CHOICE7";"7";"7";"7";"7";"7"
"TFSR_0016_CHOICE8";"8";"8";"8";"8";"8"
"TFSR_0016_CHOICE9";"9 - Zu hoch";"9 - Too High";"9 - Zu hoch";"9 - Too High";"9 - Too High"
"TFSR_0016_PROMPT";"Für mich persönlich sind die jetzigen Anforderungen...";"For me personally, the current demands are ... ";"Für mich persönlich sind die jetzigen Anforderungen...";"For me personally, the current demands are ... ";"For me personally, the current demands are ... "
