"key";"en"
"TPHT_0009_CHOICE2";"Rarely"
"TPHT_0009_CHOICE3";"Once in a while"
"TPHT_0009_CHOICE4";"Sometimes"
"TPHT_0009_CHOICE5";"Very often"
"TPHT_0009_CHOICE6";"Always"
"TPHT_0010_PROMPT";"I feel chills when I hear music that I like."
"TPHT_0010_CHOICE1";"Never"
"TPHT_0010_CHOICE2";"Rarely"
"TPHT_0010_CHOICE3";"Once in a while"
"TPHT_0010_CHOICE4";"Sometimes"
"TPHT_0010_CHOICE5";"Very often"
"TPHT_0010_CHOICE6";"Always"
"TPHT_0011_PROMPT";"I get emotional listening to certain pieces of music."
"TPHT_0011_CHOICE1";"Never"
"TPHT_0011_CHOICE2";"Rarely"
"TPHT_0011_CHOICE3";"Once in a while"
"TPHT_0011_CHOICE4";"Sometimes"
"TPHT_0011_CHOICE5";"Very often"
"TPHT_0011_CHOICE6";"Always"
"TPHT_0012_PROMPT";"I become tearful or cry when I listen to a melody that I like very much."
"TPHT_0012_CHOICE1";"Never"
"TPHT_0012_CHOICE2";"Rarely"
"TPHT_0012_CHOICE3";"Once in a while"
"TPHT_0012_CHOICE4";"Sometimes"
"TPHT_0012_CHOICE5";"Very often"
"TPHT_0012_CHOICE6";"Always"
"TPHT_0013_PROMPT";"Music gives me shivers or goosebumps"
"TPHT_0013_CHOICE1";"Never"
"TPHT_0013_CHOICE2";"Rarely"
"TPHT_0013_CHOICE3";"Once in a while"
"TPHT_0013_CHOICE4";"Sometimes"
"TPHT_0013_CHOICE5";"Very often"
"TPHT_0013_CHOICE6";"Always"
"TPHT_0014_PROMPT";"When I listen to music I'm absorbed by it"
"TPHT_0014_CHOICE1";"Never"
"TPHT_0014_CHOICE2";"Rarely"
"TPHT_0014_CHOICE3";"Once in a while"
"TPHT_0014_CHOICE4";"Sometimes"
"TPHT_0014_CHOICE5";"Very often"
"TPHT_0014_CHOICE6";"Always"
"TPHT_0015_PROMPT";"While listening to music, I become so involved that I forget about myself and my surroundings"
"TPHT_0015_CHOICE1";"Never"
"TPHT_0015_CHOICE2";"Rarely"
"TPHT_0015_CHOICE3";"Once in a while"
"TPHT_0015_CHOICE4";"Sometimes"
"TPHT_0015_CHOICE5";"Very often"
"TPHT_0015_CHOICE6";"Always"
"TPHT_0016_PROMPT";"When I listen to music I get so caught up in it that I don't notice anything"
"TPHT_0016_CHOICE1";"Never"
"TPHT_0016_CHOICE2";"Rarely"
"TPHT_0016_CHOICE3";"Once in a while"
"TPHT_0016_CHOICE4";"Sometimes"
"TPHT_0016_CHOICE5";"Very often"
"TPHT_0016_CHOICE6";"Always"
"TPHT_0017_PROMPT";"I feel like I am 'one' with the music"
"TPHT_0017_CHOICE1";"Never"
"TPHT_0017_CHOICE2";"Rarely"
"TPHT_0017_CHOICE3";"Once in a while"
"TPHT_0017_CHOICE4";"Sometimes"
"TPHT_0017_CHOICE5";"Very often"
"TPHT_0017_CHOICE6";"Always"
"TPHT_0018_PROMPT";"I lose myself in music."
"TPHT_0018_CHOICE1";"Never"
"TPHT_0018_CHOICE2";"Rarely"
"TPHT_0018_CHOICE3";"Once in a while"
"TPHT_0018_CHOICE4";"Sometimes"
"TPHT_0018_CHOICE5";"Very often"
"TPHT_0018_CHOICE6";"Always"
"TPHT_0019_PROMPT";"I like listening to music."
"TPHT_0019_CHOICE1";"Never"
"TPHT_0019_CHOICE2";"Rarely"
"TPHT_0019_CHOICE3";"Once in a while"
"TPHT_0019_CHOICE4";"Sometimes"
"TPHT_0019_CHOICE5";"Very often"
"TPHT_0019_CHOICE6";"Always"
"TPHT_0020_PROMPT";"I enjoy music."
"TPHT_0020_CHOICE1";"Never"
"TPHT_0020_CHOICE2";"Rarely"
"TPHT_0020_CHOICE3";"Once in a while"
"TPHT_0020_CHOICE4";"Sometimes"
"TPHT_0020_CHOICE5";"Very often"
"TPHT_0020_CHOICE6";"Always"
"TPHT_0021_PROMPT";"I listen to music for pleasure."
"TPHT_0021_CHOICE1";"Never"
"TPHT_0021_CHOICE2";"Rarely"
"TPHT_0021_CHOICE3";"Once in a while"
"TPHT_0021_CHOICE4";"Sometimes"
"TPHT_0021_CHOICE5";"Very often"
"TPHT_0021_CHOICE6";"Always"
"TPHT_0022_PROMPT";"Music is kind of an addiction for me – I couldn't live without it."
"TPHT_0022_CHOICE1";"Never"
"TPHT_0022_CHOICE2";"Rarely"
"TPHT_0022_CHOICE3";"Once in a while"
"TPHT_0022_CHOICE4";"Sometimes"
"TPHT_0022_CHOICE5";"Very often"
"TPHT_0022_CHOICE6";"Always"
"TPHT_0023_PROMPT";"I can tell when people sing or play out of time with the beat of the music."
"TPHT_0023_CHOICE1";"Never"
"TPHT_0023_CHOICE2";"Rarely"
"TPHT_0023_CHOICE3";"Once in a while"
"TPHT_0023_CHOICE4";"Sometimes"
"TPHT_0023_CHOICE5";"Very often"
"TPHT_0023_CHOICE6";"Always"
"TPHT_0024_PROMPT";"I can hear when people are not in sync when they play a song."
"TPHT_0024_CHOICE1";"Never"
"TPHT_0024_CHOICE2";"Rarely"
"TPHT_0024_CHOICE3";"Once in a while"
"TPHT_0024_CHOICE4";"Sometimes"
"TPHT_0024_CHOICE5";"Very often"
"TPHT_0024_CHOICE6";"Always"
"TPHT_0025_PROMPT";"I can tell when music is sung or played in time with the beat."
"TPHT_0025_CHOICE1";"Never"
"TPHT_0025_CHOICE2";"Rarely"
"TPHT_0025_CHOICE3";"Once in a while"
"TPHT_0025_CHOICE4";"Sometimes"
"TPHT_0025_CHOICE5";"Very often"
"TPHT_0025_CHOICE6";"Always"
"TPHT_0026_PROMPT";"I can sing or play a song from memory."
"TPHT_0026_CHOICE1";"Never"
"TPHT_0026_CHOICE2";"Rarely"
"TPHT_0026_CHOICE3";"Once in a while"
"TPHT_0026_CHOICE4";"Sometimes"
"TPHT_0026_CHOICE5";"Very often"
"TPHT_0026_CHOICE6";"Always"
"TPHT_0027_PROMPT";"Singing or playing music from memory is easy for me."
"TPHT_0027_CHOICE1";"Never"
"TPHT_0027_CHOICE2";"Rarely"
"TPHT_0027_CHOICE3";"Once in a while"
"TPHT_0027_CHOICE4";"Sometimes"
"TPHT_0027_CHOICE5";"Very often"
"TPHT_0027_CHOICE6";"Always"
"TPHT_0028_PROMPT";"I find it hard to sing or play a song from memory."
"TPHT_0028_CHOICE1";"Never"
"TPHT_0028_CHOICE2";"Rarely"
"TPHT_0028_CHOICE3";"Once in a while"
"TPHT_0028_CHOICE4";"Sometimes"
"TPHT_0028_CHOICE5";"Very often"
"TPHT_0028_CHOICE6";"Always"
"TPHT_0029_PROMPT";"When I sing, I have no idea whether I'm in tune or not."
"TPHT_0029_CHOICE1";"Never"
"TPHT_0029_CHOICE2";"Rarely"
"TPHT_0029_CHOICE3";"Once in a while"
"TPHT_0029_CHOICE4";"Sometimes"
"TPHT_0029_CHOICE5";"Very often"
"TPHT_0029_CHOICE6";"Always"
"TPHT_0030_PROMPT";"I am able to hit the right notes when I sing along with a recording."
"TPHT_0030_CHOICE1";"Never"
"TPHT_0030_CHOICE2";"Rarely"
"TPHT_0030_CHOICE3";"Once in a while"
"TPHT_0030_CHOICE4";"Sometimes"
"TPHT_0030_CHOICE5";"Very often"
"TPHT_0030_CHOICE6";"Always"
"TPHT_0031_PROMPT";"I can sing along with other people."
"TPHT_0031_CHOICE1";"Never"
"TPHT_0031_CHOICE2";"Rarely"
"TPHT_0031_CHOICE3";"Once in a while"
"TPHT_0031_CHOICE4";"Sometimes"
"TPHT_0031_CHOICE5";"Very often"
"TPHT_0031_CHOICE6";"Always"
"TPHT_0032_PROMPT";"I have no sense for rhythm (when I listen, play or dance to music)."
"TPHT_0032_CHOICE1";"Never"
"TPHT_0032_CHOICE2";"Rarely"
"TPHT_0032_CHOICE3";"Once in a while"
"TPHT_0032_CHOICE4";"Sometimes"
"TPHT_0032_CHOICE5";"Very often"
"TPHT_0032_CHOICE6";"Always"
"TPHT_0033_PROMPT";"Understanding the rhythm of a piece is easy for me (when I listen, play or dance to music)."
"TPHT_0033_CHOICE1";"Never"
"TPHT_0033_CHOICE2";"Rarely"
"TPHT_0033_CHOICE3";"Once in a while"
"TPHT_0033_CHOICE4";"Sometimes"
"TPHT_0033_CHOICE5";"Very often"
"TPHT_0033_CHOICE6";"Always"
"TPHT_0034_PROMPT";"I have a good sense of rhythm (when I listen, play, or dance to music)."
"TPHT_0034_CHOICE1";"Never"
"TPHT_0034_CHOICE2";"Rarely"
"TPHT_0034_CHOICE3";"Once in a while"
"TPHT_0034_CHOICE4";"Sometimes"
"TPHT_0034_CHOICE5";"Very often"
"TPHT_0034_CHOICE6";"Always"
"TPHT_0035_PROMPT";"Do you have absolute pitch? Absolute pitch is the ability to recognise and name an isolated musical tone without a reference tone, e.g. being able to say 'F#' if someone plays that note on the piano."
"TPHT_0035_CHOICE1";"Never"
"TPHT_0035_CHOICE2";"Rarely"
"TPHT_0035_CHOICE3";"Once in a while"
"TPHT_0035_CHOICE4";"Sometimes"
"TPHT_0035_CHOICE5";"Very often"
"TPHT_0035_CHOICE6";"Always"
"TPHT_0036_PROMPT";"Do you have perfect pitch?"
"TPHT_0036_CHOICE1";"Never"
"TPHT_0036_CHOICE2";"Rarely"
"TPHT_0036_CHOICE3";"Once in a while"
"TPHT_0036_CHOICE4";"Sometimes"
"TPHT_0036_CHOICE5";"Very often"
"TPHT_0036_CHOICE6";"Always"
"TPHT_0037_PROMPT";"If someone plays a note on an instrument and you can't see what note it is, can you still name it (e.g. say that is a 'C' or an 'F')?"
"TPHT_0037_CHOICE1";"Never"
"TPHT_0037_CHOICE2";"Rarely"
"TPHT_0037_CHOICE3";"Once in a while"
"TPHT_0037_CHOICE4";"Sometimes"
"TPHT_0037_CHOICE5";"Very often"
"TPHT_0037_CHOICE6";"Always"
"TPHT_0038_PROMPT";"Can you hear the difference between two melodies?"
"TPHT_0038_CHOICE1";"Never"
"TPHT_0038_CHOICE2";"Rarely"
"TPHT_0038_CHOICE3";"Once in a while"
"TPHT_0038_CHOICE4";"Sometimes"
"TPHT_0038_CHOICE5";"Very often"
"TPHT_0038_CHOICE6";"Always"
"TPHT_0039_PROMPT";"I can recognise differences between melodies even if they are similar."
"TPHT_0039_CHOICE1";"Never"
"TPHT_0039_CHOICE2";"Rarely"
"TPHT_0039_CHOICE3";"Once in a while"
"TPHT_0039_CHOICE4";"Sometimes"
"TPHT_0039_CHOICE5";"Very often"
"TPHT_0039_CHOICE6";"Always"
"TPHT_0040_PROMPT";"I can tell when two melodies are the same or different."
"TPHT_0040_CHOICE1";"Never"
"TPHT_0040_CHOICE2";"Rarely"
"TPHT_0040_CHOICE3";"Once in a while"
"TPHT_0040_CHOICE4";"Sometimes"
"TPHT_0040_CHOICE5";"Very often"
"TPHT_0040_CHOICE6";"Always"
"TPHT_0041_PROMPT";"I make up new melodies in my mind."
"TPHT_0041_CHOICE1";"Never"
"TPHT_0041_CHOICE2";"Rarely"
"TPHT_0041_CHOICE3";"Once in a while"
"TPHT_0041_CHOICE4";"Sometimes"
"TPHT_0041_CHOICE5";"Very often"
"TPHT_0041_CHOICE6";"Always"
"TPHT_0042_PROMPT";"I make up songs, even when I'm just singing to myself."
"TPHT_0042_CHOICE1";"Never"
"TPHT_0042_CHOICE2";"Rarely"
"TPHT_0042_CHOICE3";"Once in a while"
"TPHT_0042_CHOICE4";"Sometimes"
"TPHT_0042_CHOICE5";"Very often"
"TPHT_0042_CHOICE6";"Always"
"TPHT_0043_PROMPT";"I like to play around with new melodies that come to my mind."
"TPHT_0043_CHOICE1";"Never"
"TPHT_0043_CHOICE2";"Rarely"
"TPHT_0043_CHOICE3";"Once in a while"
"TPHT_0043_CHOICE4";"Sometimes"
"TPHT_0043_CHOICE5";"Very often"
"TPHT_0043_CHOICE6";"Always"
"TPHT_0044_PROMPT";"I have a melody stuck in my mind."
"TPHT_0044_CHOICE1";"Never"
"TPHT_0044_CHOICE2";"Rarely"
"TPHT_0044_CHOICE3";"Once in a while"
"TPHT_0044_CHOICE4";"Sometimes"
"TPHT_0044_CHOICE5";"Very often"
"TPHT_0044_CHOICE6";"Always"
"TPHT_0045_PROMPT";"I experience earworms."
"TPHT_0045_CHOICE1";"Never"
"TPHT_0045_CHOICE2";"Rarely"
"TPHT_0045_CHOICE3";"Once in a while"
"TPHT_0045_CHOICE4";"Sometimes"
"TPHT_0045_CHOICE5";"Very often"
"TPHT_0045_CHOICE6";"Always"
"TPHT_0046_PROMPT";"I get music stuck in my head."
"TPHT_0046_CHOICE1";"Never"
"TPHT_0046_CHOICE2";"Rarely"
"TPHT_0046_CHOICE3";"Once in a while"
"TPHT_0046_CHOICE4";"Sometimes"
"TPHT_0046_CHOICE5";"Very often"
"TPHT_0046_CHOICE6";"Always"
"TPHT_0047_PROMPT";"I have a piece of music stuck on repeat in my head."
"TPHT_0047_CHOICE1";"Never"
"TPHT_0047_CHOICE2";"Rarely"
"TPHT_0047_CHOICE3";"Once in a while"
"TPHT_0047_CHOICE4";"Sometimes"
"TPHT_0047_CHOICE5";"Very often"
"TPHT_0047_CHOICE6";"Always"
"TPHT_0048_PROMPT";"Music makes me dance."
"TPHT_0048_CHOICE1";"Never"
"TPHT_0048_CHOICE2";"Rarely"
"TPHT_0048_CHOICE3";"Once in a while"
"TPHT_0048_CHOICE4";"Sometimes"
"TPHT_0048_CHOICE5";"Very often"
"TPHT_0048_CHOICE6";"Always"
"TPHT_0049_PROMPT";"I don't like to dance, not even with music I like."
"TPHT_0049_CHOICE1";"Never"
"TPHT_0049_CHOICE2";"Rarely"
"TPHT_0049_CHOICE3";"Once in a while"
"TPHT_0049_CHOICE4";"Sometimes"
"TPHT_0049_CHOICE5";"Very often"
"TPHT_0049_CHOICE6";"Always"
"TPHT_0050_PROMPT";"I can dance to a beat."
"TPHT_0050_CHOICE1";"Never"
"TPHT_0050_CHOICE2";"Rarely"
"TPHT_0050_CHOICE3";"Once in a while"
"TPHT_0050_CHOICE4";"Sometimes"
"TPHT_0050_CHOICE5";"Very often"
"TPHT_0050_CHOICE6";"Always"
"TPHT_0051_PROMPT";"I easily get into a groove when listening to music."
"TPHT_0051_CHOICE1";"Never"
"TPHT_0051_CHOICE2";"Rarely"
"TPHT_0051_CHOICE3";"Once in a while"
"TPHT_0051_CHOICE4";"Sometimes"
"TPHT_0051_CHOICE5";"Very often"
"TPHT_0051_CHOICE6";"Always"
"TPHT_0052_PROMPT";"Can you hear the difference between two rhythms?"
"TPHT_0052_CHOICE1";"Never"
"TPHT_0052_CHOICE2";"Rarely"
"TPHT_0052_CHOICE3";"Once in a while"
"TPHT_0052_CHOICE4";"Sometimes"
"TPHT_0052_CHOICE5";"Very often"
"TPHT_0052_CHOICE6";"Always"
"TPHT_0053_PROMPT";"I can tell when two rhythms are the same or different."
"TPHT_0053_CHOICE1";"Never"
"TPHT_0053_CHOICE2";"Rarely"
"TPHT_0053_CHOICE3";"Once in a while"
"TPHT_0053_CHOICE4";"Sometimes"
"TPHT_0053_CHOICE5";"Very often"
"TPHT_0053_CHOICE6";"Always"
"TPHT_0054_PROMPT";"I can recognise differences between rhythms even if they are similar."
"TPHT_0054_CHOICE1";"Never"
"TPHT_0054_CHOICE2";"Rarely"
"TPHT_0054_CHOICE3";"Once in a while"
"TPHT_0054_CHOICE4";"Sometimes"
"TPHT_0054_CHOICE5";"Very often"
"TPHT_0054_CHOICE6";"Always"
"TPHT_0055_PROMPT";"I can't help humming or singing along to music that I like."
"TPHT_0055_CHOICE1";"Never"
"TPHT_0055_CHOICE2";"Rarely"
"TPHT_0055_CHOICE3";"Once in a while"
"TPHT_0055_CHOICE4";"Sometimes"
"TPHT_0055_CHOICE5";"Very often"
"TPHT_0055_CHOICE6";"Always"
"TPHT_0056_PROMPT";"When I hear a tune I like a lot I can't help tapping or moving to its beat."
"TPHT_0056_CHOICE1";"Never"
"TPHT_0056_CHOICE2";"Rarely"
"TPHT_0056_CHOICE3";"Once in a while"
"TPHT_0056_CHOICE4";"Sometimes"
"TPHT_0056_CHOICE5";"Very often"
"TPHT_0056_CHOICE6";"Always"
"TPHT_0057_PROMPT";"Hearing good music makes me want to sing along."
"TPHT_0057_CHOICE1";"Never"
"TPHT_0057_CHOICE2";"Rarely"
"TPHT_0057_CHOICE3";"Once in a while"
"TPHT_0057_CHOICE4";"Sometimes"
"TPHT_0057_CHOICE5";"Very often"
"TPHT_0057_CHOICE6";"Always"
