"key";"de";"en";"de_f";"it";"es"
"TJIW_0011_CHOICE5";"Stimme voll zu";"Completely Agree";"Stimme voll zu";"Completely Agree";"Completely Agree"
"TJIW_0011_PROMPT";"Ich könnte jemandem beibringen, wie man im Jazz improvisiert. ";" I could teach someone how to improvise in a jazz context.";"Ich könnte jemandem beibringen, wie man im Jazz improvisiert. ";" I could teach someone how to improvise in a jazz context.";" I could teach someone how to improvise in a jazz context."
"TJIW_0012_CHOICE1";"Simme überhaupt nicht zu";"Completely Disagree";"Simme überhaupt nicht zu";"Completely Disagree";"Completely Disagree"
"TJIW_0012_CHOICE2";"Simme nicht zu";"Disagree";"Simme nicht zu";"Disagree";"Disagree"
"TJIW_0012_CHOICE3";"Weder/noch";"Neither/nore";"Weder/noch";"Neither/nore";"Neither/nore"
"TJIW_0012_CHOICE4";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TJIW_0012_CHOICE5";"Stimme voll zu";"Completely Agree";"Stimme voll zu";"Completely Agree";"Completely Agree"
"TJIW_0012_PROMPT";"Ich vertraue meinen Fähigkeiten, auf meinem Instrument im Jazz zu improvisieren. ";" I am confident in my ability to improvise in a jazz style on my instrument.";"Ich vertraue meinen Fähigkeiten, auf meinem Instrument im Jazz zu improvisieren. ";" I am confident in my ability to improvise in a jazz style on my instrument.";" I am confident in my ability to improvise in a jazz style on my instrument."
"TJIW_0013_CHOICE1";"Simme überhaupt nicht zu";"Completely Disagree";"Simme überhaupt nicht zu";"Completely Disagree";"Completely Disagree"
"TJIW_0013_CHOICE2";"Simme nicht zu";"Disagree";"Simme nicht zu";"Disagree";"Disagree"
"TJIW_0013_CHOICE3";"Weder/noch";"Neither/nore";"Weder/noch";"Neither/nore";"Neither/nore"
"TJIW_0013_CHOICE4";"Stimme zu";"Agree";"Stimme zu";"Agree";"Agree"
"TJIW_0013_CHOICE5";"Stimme voll zu";"Completely Agree";"Stimme voll zu";"Completely Agree";"Completely Agree"
"TJIW_0013_PROMPT";"Improvisieren im Jazz fällt mir nicht allzu schwer. ";" Improvising in a jazz context is not too difficult for me. ";"Improvisieren im Jazz fällt mir nicht allzu schwer. ";" Improvising in a jazz context is not too difficult for me. ";" Improvising in a jazz context is not too difficult for me. "
